param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
sr_gamma,-1.5273880311029817,40.32248311296152,converged,1,0.17659240778953783
softmax_temperature,182.5020038904704,40.32248311296152,converged,1,182.5020038904704
sr_gamma,32.190601006706984,64.80063993275601,converged,2,0.9899999999999897
softmax_temperature,110.21538447090911,64.80063993275601,converged,2,110.21538447090911
sr_gamma,-1.5273053508387968,40.32248319508775,converged,3,0.17660440439729946
softmax_temperature,182.50752774325417,40.32248319508775,converged,3,182.50752774325417
sr_gamma,-1.528461921251464,40.32248294906257,converged,4,0.17643664816296364
softmax_temperature,182.84026974735067,40.32248294906257,converged,4,182.84026974735067
sr_gamma,-1.5293830378040578,40.322483021251,converged,5,0.17630313292561703
softmax_temperature,183.0754773949654,40.322483021251,converged,5,183.0754773949654
sr_gamma,-1.529752450678411,40.322482756855216,converged,6,0.17624960901240147
softmax_temperature,183.07314153102553,40.322482756855216,converged,6,183.07314153102553
sr_gamma,-1.5312847052755518,40.32248398124333,converged,7,0.17602773786776996
softmax_temperature,183.521356632027,40.32248398124333,converged,7,183.521356632027
sr_gamma,-1.5292117599481627,40.322482614161764,converged,8,0.176327953546559
softmax_temperature,182.94325634794035,40.322482614161764,converged,8,182.94325634794035
sr_gamma,-1.5283156309970019,40.322482782072754,converged,9,0.17645786012395703
softmax_temperature,182.77803823576542,40.322482782072754,converged,9,182.77803823576542
sr_gamma,140.25796525529088,64.80063932840093,converged,10,0.99
softmax_temperature,110.18376314291518,64.80063932840093,converged,10,110.18376314291518
sr_gamma,-1.5288287078740916,40.322482790036254,converged,11,0.17638347319837502
softmax_temperature,182.81042641397528,40.322482790036254,converged,11,182.81042641397528
sr_gamma,-1.52880717036624,40.32248305893083,converged,12,0.17638659525601158
softmax_temperature,182.77764649119072,40.32248305893083,converged,12,182.77764649119072
sr_gamma,-1.5295486038373078,40.32248347686877,converged,13,0.17627914263133845
softmax_temperature,182.9360078835316,40.32248347686877,converged,13,182.9360078835316
sr_gamma,-1.5289507287406443,40.32248302826914,converged,14,0.1763657859812594
softmax_temperature,182.97327869204815,40.32248302826914,converged,14,182.97327869204815
sr_gamma,-1.5281231127829946,40.32248314035671,converged,15,0.17648577814259966
softmax_temperature,182.614140965876,40.32248314035671,converged,15,182.614140965876
sr_gamma,-1.5279200034467078,40.32248288461828,converged,16,0.17651523578157904
softmax_temperature,182.6726774179887,40.32248288461828,converged,16,182.6726774179887
sr_gamma,-1.5307221757826426,40.322483301184604,converged,17,0.17610916694715248
softmax_temperature,183.3222639883679,40.322483301184604,converged,17,183.3222639883679
sr_gamma,-1.5275729099291981,40.3224829940047,converged,18,0.1765655848478081
softmax_temperature,182.56168099508295,40.3224829940047,converged,18,182.56168099508295
sr_gamma,-1.5294538753409674,40.32248264407,converged,19,0.1762928683493146
softmax_temperature,183.01120213070897,40.32248264407,converged,19,183.01120213070897
sr_gamma,-1.5288750042657062,40.322482764657025,converged,20,0.17637676226187718
softmax_temperature,182.825014547681,40.322482764657025,converged,20,182.825014547681
sr_gamma,-1.5287877789494062,40.32248278620148,converged,21,0.1763894062552643
softmax_temperature,182.8011021313486,40.32248278620148,converged,21,182.8011021313486
sr_gamma,-1.5283911095674942,40.322482813352224,converged,22,0.17644691554682806
softmax_temperature,182.80455726513497,40.322482813352224,converged,22,182.80455726513497
sr_gamma,-17.679726040223613,79.7119256264214,converged,23,2.076958049181611e-8
softmax_temperature,0.6727087593753822,79.7119256264214,converged,23,0.6727087593753822
sr_gamma,30.692650607247405,64.80063931119966,converged,24,0.9899999999999536
softmax_temperature,110.1877619918134,64.80063931119966,converged,24,110.1877619918134
sr_gamma,-1.5289609680897551,40.322482810147655,converged,25,0.1763643018262386
softmax_temperature,182.95348822939604,40.322482810147655,converged,25,182.95348822939604
