param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
sr_gamma,1.6179453616583916,40.930251634711794,converged,1,0.8261664593683598
softmax_temperature,46.052958668574874,40.930251634711794,converged,1,46.052958668574874
sr_gamma,1.6177640103846231,40.93025137745556,converged,2,0.8261416633392279
softmax_temperature,46.04460115316846,40.93025137745556,converged,2,46.04460115316846
sr_gamma,1.6183467228530477,40.93025204875069,converged,3,0.8262213264994597
softmax_temperature,46.05450570303866,40.93025204875069,converged,3,46.05450570303866
sr_gamma,1.6181317973359266,40.93025169850774,converged,4,0.8261919474483921
softmax_temperature,46.05323614036331,40.93025169850774,converged,4,46.05323614036331
sr_gamma,1.6179204205585056,40.93025153874977,converged,5,0.8261630493681404
softmax_temperature,46.05162810824963,40.93025153874977,converged,5,46.05162810824963
sr_gamma,1.6179812874508173,40.930251623465224,converged,6,0.8261713711190969
softmax_temperature,46.042802949066356,40.930251623465224,converged,6,46.042802949066356
sr_gamma,1.6174450015044073,40.93025189098134,converged,7,0.8260980381840723
softmax_temperature,46.03699462581265,40.93025189098134,converged,7,46.03699462581265
sr_gamma,1.617532747226022,40.93025172260772,converged,8,0.8261100385296614
softmax_temperature,46.03842430763011,40.93025172260772,converged,8,46.03842430763011
sr_gamma,48.14305257111478,48.75412522212085,converged,9,0.99
softmax_temperature,210.62379794004403,48.75412522212085,converged,9,210.62379794004403
sr_gamma,1.6177464628432665,40.93025179668508,converged,10,0.8261392639169004
softmax_temperature,46.038108015430765,40.93025179668508,converged,10,46.038108015430765
sr_gamma,1.617922095182018,40.93025174375811,converged,11,0.8261632783280105
softmax_temperature,46.05398823864318,40.93025174375811,converged,11,46.05398823864318
sr_gamma,1.6180320427890433,40.93025150118109,converged,12,0.8261783101543835
softmax_temperature,46.05048583650281,40.93025150118109,converged,12,46.05048583650281
sr_gamma,108.66517389741747,48.75412506163204,converged,13,0.99
softmax_temperature,210.65749205854087,48.75412506163204,converged,13,210.65749205854087
sr_gamma,1.6181463803379663,40.930251710053376,converged,14,0.8261939409924043
softmax_temperature,46.0458497731206,40.930251710053376,converged,14,46.0458497731206
sr_gamma,1.6178390460056824,40.93025162982099,converged,15,0.8261519232705434
softmax_temperature,46.05222319780424,40.93025162982099,converged,15,46.05222319780424
sr_gamma,1.6175862996775026,40.93025204729159,converged,16,0.8261173621637227
softmax_temperature,46.035298650367864,40.93025204729159,converged,16,46.035298650367864
sr_gamma,1.6177356741425855,40.93025142038731,converged,17,0.8261377886734959
softmax_temperature,46.04769596601302,40.93025142038731,converged,17,46.04769596601302
sr_gamma,1.6181605876002976,40.9302516721792,converged,18,0.826195883152865
softmax_temperature,46.047216896107756,40.9302516721792,converged,18,46.047216896107756
sr_gamma,1.6179038857632118,40.930251822806056,converged,19,0.8261607886643979
softmax_temperature,46.05458050283433,40.930251822806056,converged,19,46.05458050283433
sr_gamma,1.6176959520470549,40.93025181662925,converged,20,0.8261323569953696
softmax_temperature,46.03760023813704,40.93025181662925,converged,20,46.03760023813704
sr_gamma,1.6170775083450644,40.93025270447744,converged,21,0.8260477711590488
softmax_temperature,46.0429844934904,40.93025270447744,converged,21,46.0429844934904
sr_gamma,1.6180907088762269,40.93025157621182,converged,22,0.82618633041713
softmax_temperature,46.051414880109405,40.93025157621182,converged,22,46.051414880109405
sr_gamma,1.6175818551131567,40.93025150471763,converged,23,0.8261167543516188
softmax_temperature,46.0454538016464,40.93025150471763,converged,23,46.0454538016464
sr_gamma,1.6181938152785573,40.93025198356075,converged,24,0.8262004253691867
softmax_temperature,46.05627997450145,40.93025198356075,converged,24,46.05627997450145
sr_gamma,47.81017741048721,48.754125500294265,converged,25,0.99
softmax_temperature,210.6094956499282,48.754125500294265,converged,25,210.6094956499282
