param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
sr_gamma,-1.1361062470580614,70.75612322700051,converged,1,0.2406056160663312
softmax_temperature,18.716961982553677,70.75612322700051,converged,1,18.716961982553677
sr_gamma,-1.1336371863895747,70.75612458008942,converged,2,0.2410555908429498
softmax_temperature,18.694940967044236,70.75612458008942,converged,2,18.694940967044236
sr_gamma,69.1577750979175,74.98782132947416,converged,3,0.99
softmax_temperature,53.822625757838296,74.98782132947416,converged,3,53.822625757838296
sr_gamma,-1.1394801592093775,70.75612330737628,converged,4,0.23999165900383368
softmax_temperature,18.743865802385884,70.75612330737628,converged,4,18.743865802385884
sr_gamma,-1.139616265165648,70.75612284639132,converged,5,0.2399669139187398
softmax_temperature,18.749123344642566,70.75612284639132,converged,5,18.749123344642566
sr_gamma,-1.1386652450847303,70.75612288535432,converged,6,0.2401398528056821
softmax_temperature,18.742628752293264,70.75612288535432,converged,6,18.742628752293264
sr_gamma,-1.1367859134667413,70.75612297827173,converged,7,0.24048185018284698
softmax_temperature,18.72024360958232,70.75612297827173,converged,7,18.72024360958232
sr_gamma,-1.1388188523204854,70.7561231300809,converged,8,0.2401119142585566
softmax_temperature,18.746118637461734,70.7561231300809,converged,8,18.746118637461734
sr_gamma,19.92492291646704,74.98782126501354,converged,9,0.9899999978003625
softmax_temperature,53.82217332427899,74.98782126501354,converged,9,53.82217332427899
sr_gamma,-1.1401544645691468,70.75612338171541,converged,10,0.23986908222183884
softmax_temperature,18.76065646870897,70.75612338171541,converged,10,18.76065646870897
sr_gamma,74.19459054218355,74.98782206440305,converged,11,0.99
softmax_temperature,53.80832674157155,74.98782206440305,converged,11,53.80832674157155
sr_gamma,18.978009981907125,74.98782123741512,converged,12,0.9899999943299072
softmax_temperature,53.84679665929609,74.98782123741512,converged,12,53.84679665929609
sr_gamma,-1.141540040345809,70.75612313447577,converged,13,0.23961734275390872
softmax_temperature,18.770183789518956,70.75612313447577,converged,13,18.770183789518956
sr_gamma,-1.140380535971456,70.75612290865219,converged,14,0.23982799597511895
softmax_temperature,18.757790807329766,70.75612290865219,converged,14,18.757790807329766
sr_gamma,20.676896901170494,74.98782127165964,converged,15,0.9899999989630138
softmax_temperature,53.823327471869106,74.98782127165964,converged,15,53.823327471869106
sr_gamma,-1.1326822878379201,70.75612559976214,converged,16,0.24122976960041487
softmax_temperature,18.67192391825469,70.75612559976214,converged,16,18.67192391825469
sr_gamma,-1.1374912444439493,70.75612298189354,converged,17,0.2403534565583326
softmax_temperature,18.72601830290253,70.75612298189354,converged,17,18.72601830290253
sr_gamma,-1.1413154620498527,70.75612309994261,converged,18,0.23965813323074658
softmax_temperature,18.76655874270168,70.75612309994261,converged,18,18.76655874270168
sr_gamma,-1.1381730546599,70.75612296258994,converged,19,0.24022938876716463
softmax_temperature,18.73823658026642,70.75612296258994,converged,19,18.73823658026642
sr_gamma,38.8046758435699,74.98782144920106,converged,20,0.99
softmax_temperature,53.8470681399073,74.98782144920106,converged,20,53.8470681399073
sr_gamma,-1.1366088976393907,70.75612345383786,converged,21,0.240514080243787
softmax_temperature,18.724282614663643,70.75612345383786,converged,21,18.724282614663643
sr_gamma,20.539350259554446,74.98782121512349,converged,22,0.9899999988101048
softmax_temperature,53.84099559677921,74.98782121512349,converged,22,53.84099559677921
sr_gamma,-1.1404308768293427,70.75612291930322,converged,23,0.23981884767268494
softmax_temperature,18.758956774556275,70.75612291930322,converged,23,18.758956774556275
sr_gamma,-15.259926329716109,79.7119242671864,converged,24,2.335249527658535e-7
softmax_temperature,1.1397936887515243,79.7119242671864,converged,24,1.1397936887515243
sr_gamma,73.54167659831222,74.98782118461601,converged,25,0.99
softmax_temperature,53.82979901920439,74.98782118461601,converged,25,53.82979901920439
