param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
sr_gamma,-2.198230435571796,18.24801124929525,converged,1,0.09891041408305626
softmax_temperature,15820.924483427847,18.24801124929525,converged,1,15820.924483427847
sr_gamma,61.844832750544995,39.50331176568881,converged,2,0.99
softmax_temperature,296.3767647221656,39.50331176568881,converged,2,296.3767647221656
sr_gamma,-2.198322010455002,18.24801127583629,converged,3,0.09890226162345839
softmax_temperature,15820.800963690717,18.24801127583629,converged,3,15820.800963690717
sr_gamma,-2.1985973367936236,18.24801331380885,converged,4,0.09887775427713152
softmax_temperature,15820.682051411848,18.24801331380885,converged,4,15820.682051411848
sr_gamma,-1.806780035211004,18.251615540957992,converged,5,0.1396174607136495
softmax_temperature,5791.873221393294,18.251615540957992,converged,5,5791.873221393294
sr_gamma,-1.9073042591161542,18.25041062370502,converged,6,0.12799116754260248
softmax_temperature,7447.075246684764,18.25041062370502,converged,6,7447.075246684764
sr_gamma,-2.0883735030870136,18.248776386736843,converged,7,0.10912968153504116
softmax_temperature,11865.922918655688,18.248776386736843,converged,7,11865.922918655688
sr_gamma,-2.198295068555089,18.248011475549195,converged,8,0.09890466006572828
softmax_temperature,15819.548989887244,18.248011475549195,converged,8,15819.548989887244
sr_gamma,-2.198297267946254,18.248011254852024,converged,9,0.09890446426791982
softmax_temperature,15820.72097197939,18.248011254852024,converged,9,15820.72097197939
sr_gamma,-2.1982189867603026,18.248014156858932,converged,10,0.09891143335621454
softmax_temperature,15808.772578748738,18.248014156858932,converged,10,15808.772578748738
sr_gamma,-2.1983550993548984,18.24801093485172,converged,11,0.09889931602903766
softmax_temperature,15822.842365126216,18.24801093485172,converged,11,15822.842365126216
sr_gamma,-2.1982928375147943,18.24801102827318,converged,12,0.09890485868140955
softmax_temperature,15822.115392776923,18.24801102827318,converged,12,15822.115392776923
sr_gamma,-2.198458078988402,18.248011119777104,converged,13,0.09889014921716777
softmax_temperature,15823.395635432425,18.248011119777104,converged,13,15823.395635432425
sr_gamma,-2.1985225295979407,18.248010704396243,converged,14,0.09888441248054089
softmax_temperature,15826.081768681332,18.248010704396243,converged,14,15826.081768681332
sr_gamma,-2.1986656738369783,18.24801135357132,converged,15,0.09887167229703267
softmax_temperature,15827.173263550363,18.24801135357132,converged,15,15827.173263550363
sr_gamma,-2.1981966472698113,18.248011671805997,converged,16,0.0989134222395895
softmax_temperature,15817.94369409886,18.248011671805997,converged,16,15817.94369409886
sr_gamma,-2.1982971175352093,18.24801143793452,converged,17,0.09890447765804761
softmax_temperature,15819.755300117664,18.24801143793452,converged,17,15819.755300117664
sr_gamma,-2.198754005561765,18.248011606111316,converged,18,0.0988638112879951
softmax_temperature,15828.796369633348,18.248011606111316,converged,18,15828.796369633348
sr_gamma,-2.1983658716734555,18.248011320967596,converged,19,0.09889835708737743
softmax_temperature,15821.118379626847,18.248011320967596,converged,19,15821.118379626847
sr_gamma,-2.1983370732461474,18.248011247565792,converged,20,0.09890092071476402
softmax_temperature,15821.09142071629,18.248011247565792,converged,20,15821.09142071629
sr_gamma,-2.1985563487077773,18.24801072323591,converged,21,0.09888140236629639
softmax_temperature,15826.63905749708,18.24801072323591,converged,21,15826.63905749708
sr_gamma,-2.075470981148587,18.248873801646017,converged,22,0.11038883247333238
softmax_temperature,11476.924978600433,18.248873801646017,converged,22,11476.924978600433
sr_gamma,-1.848912652027244,18.251055067288313,converged,23,0.13464060852268997
softmax_temperature,6440.383565836559,18.251055067288313,converged,23,6440.383565836559
sr_gamma,-2.1982585537976336,18.248011427094358,converged,24,0.0989079107927215
softmax_temperature,15819.550879389426,18.248011427094358,converged,24,15819.550879389426
sr_gamma,-2.1985895020097077,18.248011943382387,converged,25,0.09887845159223109
softmax_temperature,15823.73860881156,18.248011943382387,converged,25,15823.73860881156
