sub_id,shortest_path,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,opt1_distance,opt2_distance,softmax_temperature,p_choose_opt1,simulated_choice
1,2,1,3,2,8,2,2,8,-0.8972513733897358,0.9954293022975945,2
1,2,1,4,2,8,2,2,8,-0.8972513733897358,0.9954293022975945,2
1,2,1,9,8,2,8,2,8,-0.8972513733897358,0.9954293022975945,8
1,2,1,10,8,2,8,2,8,-0.8972513733897358,0.9954293022975945,8
1,2,2,5,3,1,3,2,8,-0.8972513733897358,0.9954293022975945,3
1,2,2,5,4,1,4,2,8,-0.8972513733897358,0.9954293022975945,4
1,2,2,6,4,1,4,2,8,-0.8972513733897358,0.9954293022975945,4
1,2,2,6,4,3,4,2,3,-0.8972513733897358,0.7103843316694214,4
1,2,2,8,1,3,1,2,8,-0.8972513733897358,0.9954293022975945,1
1,2,2,8,1,4,1,2,8,-0.8972513733897358,0.9954293022975945,1
1,2,3,1,2,4,2,2,3,-0.8972513733897358,0.7103843316694214,4
1,2,3,1,2,5,2,2,4,-0.8972513733897358,0.8574784396850059,2
1,2,3,6,4,2,4,2,3,-0.8972513733897358,0.7103843316694214,4
1,2,3,6,4,5,4,2,3,-0.8972513733897358,0.7103843316694214,4
1,2,3,7,5,2,5,2,4,-0.8972513733897358,0.8574784396850059,5
1,2,3,7,5,4,5,2,3,-0.8972513733897358,0.7103843316694214,5
1,2,4,1,2,3,2,2,3,-0.8972513733897358,0.7103843316694214,3
1,2,4,1,2,5,2,2,4,-0.8972513733897358,0.8574784396850059,2
1,2,4,1,2,6,2,2,6,-0.8972513733897358,0.973116876745775,2
1,2,4,7,5,2,5,2,4,-0.8972513733897358,0.8574784396850059,5
1,2,4,7,5,3,5,2,3,-0.8972513733897358,0.7103843316694214,5
1,2,4,7,6,2,6,2,4,-0.8972513733897358,0.8574784396850059,2
1,2,4,7,6,3,6,2,3,-0.8972513733897358,0.7103843316694214,6
1,2,5,2,3,7,3,2,4,-0.8972513733897358,0.8574784396850059,3
1,2,5,2,4,7,4,2,4,-0.8972513733897358,0.8574784396850059,4
1,2,5,6,4,3,4,2,3,-0.8972513733897358,0.7103843316694214,4
1,2,5,6,7,3,7,2,3,-0.8972513733897358,0.7103843316694214,3
1,2,6,2,4,7,4,2,4,-0.8972513733897358,0.8574784396850059,4
1,2,6,3,4,7,4,2,3,-0.8972513733897358,0.7103843316694214,4
1,2,7,3,5,6,5,2,3,-0.8972513733897358,0.7103843316694214,5
1,2,8,2,1,9,1,2,8,-0.8972513733897358,0.9954293022975945,1
1,2,8,2,1,10,1,2,8,-0.8972513733897358,0.9954293022975945,1
1,2,8,11,9,1,9,2,8,-0.8972513733897358,0.9954293022975945,9
1,2,8,11,9,10,9,2,3,-0.8972513733897358,0.7103843316694214,9
