sub_id,shortest_path,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,opt1_distance,opt2_distance,softmax_temperature,p_choose_opt1,simulated_choice
1,2,1,3,2,8,2,2,8,-0.23062244565754994,0.7995901355384096,2
1,2,1,4,2,8,2,2,8,-0.23062244565754994,0.7995901355384096,2
1,2,1,9,8,2,8,2,8,-0.23062244565754994,0.7995901355384096,2
1,2,1,10,8,2,8,2,8,-0.23062244565754994,0.7995901355384096,8
1,2,2,5,3,1,3,2,8,-0.23062244565754994,0.7995901355384096,3
1,2,2,5,4,1,4,2,8,-0.23062244565754994,0.7995901355384096,4
1,2,2,6,4,1,4,2,8,-0.23062244565754994,0.7995901355384096,4
1,2,2,6,4,3,4,2,3,-0.23062244565754994,0.5574014205842185,4
1,2,2,8,1,3,1,2,8,-0.23062244565754994,0.7995901355384096,1
1,2,2,8,1,4,1,2,8,-0.23062244565754994,0.7995901355384096,1
1,2,3,1,2,4,2,2,3,-0.23062244565754994,0.5574014205842185,2
1,2,3,1,2,5,2,2,4,-0.23062244565754994,0.6133094573809051,2
1,2,3,6,4,2,4,2,3,-0.23062244565754994,0.5574014205842185,4
1,2,3,6,4,5,4,2,3,-0.23062244565754994,0.5574014205842185,4
1,2,3,7,5,2,5,2,4,-0.23062244565754994,0.6133094573809051,2
1,2,3,7,5,4,5,2,3,-0.23062244565754994,0.5574014205842185,5
1,2,4,1,2,3,2,2,3,-0.23062244565754994,0.5574014205842185,2
1,2,4,1,2,5,2,2,4,-0.23062244565754994,0.6133094573809051,2
1,2,4,1,2,6,2,2,6,-0.23062244565754994,0.7155491443388842,6
1,2,4,7,5,2,5,2,4,-0.23062244565754994,0.6133094573809051,5
1,2,4,7,5,3,5,2,3,-0.23062244565754994,0.5574014205842185,5
1,2,4,7,6,2,6,2,4,-0.23062244565754994,0.6133094573809051,6
1,2,4,7,6,3,6,2,3,-0.23062244565754994,0.5574014205842185,6
1,2,5,2,3,7,3,2,4,-0.23062244565754994,0.6133094573809051,3
1,2,5,2,4,7,4,2,4,-0.23062244565754994,0.6133094573809051,4
1,2,5,6,4,3,4,2,3,-0.23062244565754994,0.5574014205842185,4
1,2,5,6,7,3,7,2,3,-0.23062244565754994,0.5574014205842185,3
1,2,6,2,4,7,4,2,4,-0.23062244565754994,0.6133094573809051,4
1,2,6,3,4,7,4,2,3,-0.23062244565754994,0.5574014205842185,7
1,2,7,3,5,6,5,2,3,-0.23062244565754994,0.5574014205842185,6
1,2,8,2,1,9,1,2,8,-0.23062244565754994,0.7995901355384096,1
1,2,8,2,1,10,1,2,8,-0.23062244565754994,0.7995901355384096,1
1,2,8,11,9,1,9,2,8,-0.23062244565754994,0.7995901355384096,9
1,2,8,11,9,10,9,2,3,-0.23062244565754994,0.5574014205842185,10
1,2,8,12,10,1,10,2,8,-0.23062244565754994,0.7995901355384096,10
1,2,8,12,10,9,10,2,3,-0.23062244565754994,0.5574014205842185,9
1,2,9,1,8,11,8,2,5,-0.23062244565754994,0.666382196339844,8
1,2,9,10,8,11,8,2,3,-0.23062244565754994,0.5574014205842185,8
1,2,9,12,11,8,11,2,3,-0.23062244565754994,0.5574014205842185,8
1,2,9,13,11,8,11,2,4,-0.23062244565754994,0.6133094573809051,8
1,2,10,1,8,12,8,2,5,-0.23062244565754994,0.666382196339844,8
1,2,10,9,8,12,8,2,3,-0.23062244565754994,0.5574014205842185,12
1,2,10,11,12,8,12,2,3,-0.23062244565754994,0.5574014205842185,12
1,2,10,13,12,8,12,2,4,-0.23062244565754994,0.6133094573809051,8
1,2,11,8,9,12,9,2,3,-0.23062244565754994,0.5574014205842185,9
1,2,11,8,9,13,9,2,4,-0.23062244565754994,0.6133094573809051,9
1,2,11,10,12,9,12,2,3,-0.23062244565754994,0.5574014205842185,9
1,2,11,10,12,13,12,2,3,-0.23062244565754994,0.5574014205842185,12
1,2,12,8,10,11,10,2,3,-0.23062244565754994,0.5574014205842185,10
1,2,12,8,10,13,10,2,4,-0.23062244565754994,0.6133094573809051,10
1,2,12,9,11,10,11,2,3,-0.23062244565754994,0.5574014205842185,11
1,2,12,9,11,13,11,2,3,-0.23062244565754994,0.5574014205842185,13
1,2,13,9,11,12,11,2,3,-0.23062244565754994,0.5574014205842185,12
1,2,13,10,12,11,12,2,3,-0.23062244565754994,0.5574014205842185,12
1,3,1,5,2,8,2,3,8,-0.23062244565754994,0.7600789189467767,2
1,3,1,6,2,8,2,3,8,-0.23062244565754994,0.7600789189467767,8
1,3,1,11,8,2,8,3,8,-0.23062244565754994,0.7600789189467767,8
1,3,1,12,8,2,8,3,8,-0.23062244565754994,0.7600789189467767,8
1,3,2,7,3,1,3,3,8,-0.23062244565754994,0.7600789189467767,3
1,3,2,7,4,1,4,3,8,-0.23062244565754994,0.7600789189467767,4
1,3,2,9,1,3,1,3,8,-0.23062244565754994,0.7600789189467767,3
1,3,2,9,1,4,1,3,8,-0.23062244565754994,0.7600789189467767,1
1,3,2,10,1,3,1,3,8,-0.23062244565754994,0.7600789189467767,1
1,3,2,10,1,4,1,3,8,-0.23062244565754994,0.7600789189467767,1
1,3,3,8,2,4,2,3,4,-0.23062244565754994,0.5574014205842185,2
1,3,3,8,2,5,2,3,5,-0.23062244565754994,0.613309457380905,5
1,3,4,8,2,3,2,3,4,-0.23062244565754994,0.5574014205842185,2
1,3,4,8,2,5,2,3,5,-0.23062244565754994,0.613309457380905,5
1,3,4,8,2,6,2,3,7,-0.23062244565754994,0.7155491443388842,2
1,3,5,1,3,7,3,3,5,-0.23062244565754994,0.613309457380905,3
1,3,5,1,4,7,4,3,5,-0.23062244565754994,0.613309457380905,7
1,3,6,1,4,7,4,3,5,-0.23062244565754994,0.613309457380905,7
1,3,8,3,1,9,1,3,8,-0.23062244565754994,0.7600789189467767,1
1,3,8,3,1,10,1,3,8,-0.23062244565754994,0.7600789189467767,1
1,3,8,4,1,9,1,3,8,-0.23062244565754994,0.7600789189467767,1
1,3,8,4,1,10,1,3,8,-0.23062244565754994,0.7600789189467767,10
