param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
sr_gamma,-0.47556776230903186,75.31230712481506,converged,1,0.3794662856160922
softmax_temperature,9.284913262016403,75.31230712481506,converged,1,9.284913262016403
sr_gamma,-0.47841340653367204,75.3123068904318,converged,2,0.37880057763883207
softmax_temperature,9.29247100701183,75.3123068904318,converged,2,9.29247100701183
sr_gamma,-0.4748197829314758,75.31230715484372,converged,3,0.37964134087730983
softmax_temperature,9.278363078267022,75.31230715484372,converged,3,9.278363078267022
sr_gamma,-0.477410054185736,75.3123066611423,converged,4,0.3790352505475692
softmax_temperature,9.285835062695956,75.3123066611423,converged,4,9.285835062695956
sr_gamma,-0.4784461023875922,75.31230676101143,converged,5,0.3787929313730346
softmax_temperature,9.291593206752403,75.31230676101143,converged,5,9.291593206752403
sr_gamma,44.60734520745273,78.48659240740584,converged,6,0.99
softmax_temperature,26.238718122381364,78.48659240740584,converged,6,26.238718122381364
sr_gamma,-0.47770493322307994,75.31230662429459,converged,7,0.37896627590527804
softmax_temperature,9.289518584216,75.31230662429459,converged,7,9.289518584216
sr_gamma,-0.4771000401784824,75.31230728354451,converged,8,0.37910777052248135
softmax_temperature,9.28252161298926,75.31230728354451,converged,8,9.28252161298926
sr_gamma,-0.4783646989366419,75.3123068801221,converged,9,0.37881196852626886
softmax_temperature,9.288253129022538,75.3123068801221,converged,9,9.288253129022538
sr_gamma,-0.47499372736277234,75.31230698860536,converged,10,0.37960062862396515
softmax_temperature,9.279753408831432,75.31230698860536,converged,10,9.279753408831432
sr_gamma,-0.47945647666700564,75.31230730818677,converged,11,0.37855667377670943
softmax_temperature,9.29569502239287,75.31230730818677,converged,11,9.29569502239287
sr_gamma,-0.4756951624922457,75.31230677215966,converged,12,0.379436472233876
softmax_temperature,9.28141183655644,75.31230677215966,converged,12,9.28141183655644
sr_gamma,-0.4762688276263999,75.31230667110167,converged,13,0.37930223774933036
softmax_temperature,9.282839821367237,75.31230667110167,converged,13,9.282839821367237
sr_gamma,-0.4806244689737878,75.31230779832,converged,14,0.37828363005454585
softmax_temperature,9.296352245652216,75.31230779832,converged,14,9.296352245652216
sr_gamma,-0.46667609192361126,75.31231816034008,converged,15,0.3815492365002268
softmax_temperature,9.252556528306041,75.31231816034008,converged,15,9.252556528306041
sr_gamma,-0.474144308617823,75.31230756495485,converged,16,0.37979945345561816
softmax_temperature,9.279811625906124,75.31230756495485,converged,16,9.279811625906124
sr_gamma,-0.47675243045250915,75.31230684051509,converged,17,0.3791890913295715
softmax_temperature,9.28299123085283,75.31230684051509,converged,17,9.28299123085283
sr_gamma,-0.4762446926832043,75.31230662794802,converged,18,0.3793078848306904
softmax_temperature,9.284901272004312,75.31230662794802,converged,18,9.284901272004312
sr_gamma,-0.47680798126229035,75.31230684117112,converged,19,0.37917609517114703
softmax_temperature,9.283136678533634,75.31230684117112,converged,19,9.283136678533634
sr_gamma,-0.4780878174825888,75.31230690154544,converged,20,0.37887672322922883
softmax_temperature,9.287029572607077,75.31230690154544,converged,20,9.287029572607077
sr_gamma,-0.47690714601222783,75.3123069323387,converged,21,0.3791528959148738
softmax_temperature,9.288983006786147,75.3123069323387,converged,21,9.288983006786147
sr_gamma,-0.4778479829359467,75.31230691361351,converged,22,0.378932817113206
softmax_temperature,9.291463343200515,75.31230691361351,converged,22,9.291463343200515
sr_gamma,-0.47668977692361053,75.31230704730581,converged,23,0.37920374937775964
softmax_temperature,9.282062107150674,75.31230704730581,converged,23,9.282062107150674
sr_gamma,-0.47994324327776083,75.31230738237801,converged,24,0.37844287231784207
softmax_temperature,9.294029530613791,75.31230738237801,converged,24,9.294029530613791
sr_gamma,-0.47778380361438355,75.3123072320614,converged,25,0.3789478282773612
softmax_temperature,9.292376578077736,75.3123072320614,converged,25,9.292376578077736
