sub_id,node_id,node_name,node_race,node_gender,node_stim
49,11,Andy,asian,male,CFD-AM-250-149-N
49,12,Tiffany,asian,female,CFD-AF-247-278-N
49,13,Kayla,black,female,CFD-BF-235-168-N
50,1,Chloe,white,female,CFD-WF-244-163-N
50,2,Andrew,asian,male,CFD-AM-202-079-N
50,3,Alexander,latine,male,CFD-LM-249-001-N
50,4,Nevaeh,black,female,CFD-BF-207-004-N
50,5,Leslie,latine,female,CFD-LF-222-147-N
50,6,Dylan,latine,male,CFD-LM-211-128-N
50,7,Gabriella,white,female,CFD-WF-235-121-N
50,8,Nia,black,female,CFD-BF-241-222-N
50,9,Brandon,black,male,CFD-BM-210-148-N
50,10,Lucas,asian,male,CFD-AM-252-114-N
50,11,Nicole,asian,female,CFD-AF-217-155-N
50,12,Daniel,white,male,CFD-WM-251-002-N
50,13,Angelina,latine,female,CFD-LF-252-172-N
