measurement_id,sub_id,network,trial,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,sub_choice,correct,rt,dist_opt1,dist_opt2,shortest_path_given_opts,shortest_path_given_start_end,one_impossible_option,two_correct_options
1,1,learned,52,8,2,1,10,1,1,TRUE,2934.40000154078,2,NA,2,2,TRUE,FALSE
1,1,learned,53,3,7,5,4,5,5,TRUE,2396.800000220537,2,3,2,2,FALSE,FALSE
1,1,learned,54,9,10,8,11,8,8,TRUE,2298.1000002473593,2,3,2,2,FALSE,FALSE
1,1,learned,55,3,8,2,4,2,4,FALSE,2047.2999997437,3,4,3,3,FALSE,FALSE
1,1,learned,56,1,10,8,2,8,8,TRUE,3985.500000417233,2,NA,2,2,TRUE,FALSE
1,1,learned,57,4,7,6,2,6,6,TRUE,3525.4000015556812,2,4,2,2,FALSE,FALSE
1,1,learned,58,12,1,10,11,10,11,FALSE,6351.499998942018,3,4,3,3,FALSE,FALSE
1,1,learned,59,7,2,5,6,NA,6,TRUE,11938.59999999404,3,3,3,3,FALSE,TRUE
1,1,learned,60,4,1,2,6,2,2,TRUE,3426.2000005692244,2,6,2,2,FALSE,FALSE
1,1,learned,61,2,9,1,4,1,4,FALSE,3693.499999120831,3,NA,3,3,TRUE,FALSE
1,1,learned,62,4,1,2,5,2,2,TRUE,3238.099999725818,2,4,2,2,FALSE,FALSE
1,1,learned,63,9,2,8,11,8,8,TRUE,4214.299999177456,3,6,3,3,FALSE,FALSE
1,1,learned,64,4,1,5,6,5,5,TRUE,6882.4000004678965,4,6,4,2,FALSE,FALSE
1,1,learned,65,6,1,4,7,4,4,TRUE,6166.000001132488,3,5,3,3,FALSE,FALSE
1,1,learned,66,12,2,10,11,10,11,FALSE,4638.199999928474,4,5,4,4,FALSE,FALSE
1,1,learned,67,8,6,1,10,1,10,FALSE,3830.5999990552664,4,NA,4,4,TRUE,FALSE
1,1,learned,68,11,8,9,13,9,13,FALSE,6055.500000715256,2,4,2,2,FALSE,FALSE
1,1,learned,69,11,8,12,13,12,12,TRUE,4574.200000613928,3,4,3,2,FALSE,FALSE
1,1,learned,70,10,11,12,8,12,8,FALSE,4586.200000718236,2,3,2,2,FALSE,FALSE
1,1,learned,71,1,4,2,8,2,2,TRUE,2304.8000000417233,2,NA,2,2,TRUE,FALSE
1,1,learned,72,5,1,3,4,NA,4,TRUE,5247.300000861287,3,3,3,3,FALSE,TRUE
1,1,learned,73,5,8,3,7,3,7,FALSE,4448.400000110269,4,6,4,4,FALSE,FALSE
1,1,learned,74,2,11,1,4,1,4,FALSE,6454.900000244379,4,NA,4,4,TRUE,FALSE
1,1,learned,75,4,10,2,3,2,2,TRUE,1750.399999320507,4,5,4,4,FALSE,FALSE
1,1,learned,76,12,1,11,13,11,11,TRUE,9118.599999696016,4,5,4,3,FALSE,FALSE
1,1,learned,77,6,8,4,7,4,4,TRUE,3766.099998727441,4,6,4,4,FALSE,FALSE
1,1,learned,78,3,9,4,5,4,4,TRUE,8620.699999853969,5,6,5,4,FALSE,FALSE
1,1,learned,79,3,1,2,4,2,2,TRUE,2114.0999998897314,2,3,2,2,FALSE,FALSE
1,1,learned,80,3,6,4,2,4,4,TRUE,2852.299999445677,2,3,2,2,FALSE,FALSE
1,1,learned,81,12,9,11,10,11,11,TRUE,3101.300001144409,2,3,2,2,FALSE,FALSE
1,1,learned,82,1,5,2,8,2,8,FALSE,3951.600000262261,3,NA,3,3,TRUE,FALSE
1,1,learned,83,3,8,2,5,2,5,FALSE,3470.099998638034,3,5,3,3,FALSE,FALSE
1,1,learned,84,11,2,9,12,9,12,FALSE,6277.499999850988,4,5,4,4,FALSE,FALSE
1,1,learned,85,2,5,3,4,NA,4,TRUE,2877.3999996483326,2,2,2,2,FALSE,TRUE
1,1,learned,86,4,10,5,6,5,6,FALSE,5775.200000032783,6,8,6,4,FALSE,FALSE
1,1,learned,87,7,4,5,6,NA,5,TRUE,5222.400000318885,2,2,2,2,FALSE,TRUE
1,1,learned,88,1,12,8,2,8,2,FALSE,5188.999999314547,3,NA,3,3,TRUE,FALSE
1,1,learned,89,6,5,4,7,NA,4,TRUE,2442.299999296665,2,2,2,2,FALSE,TRUE
1,1,learned,90,3,7,4,2,4,4,TRUE,5321.599999442697,3,4,3,2,FALSE,FALSE
1,1,learned,91,2,5,4,1,4,4,TRUE,8992.500001564622,2,NA,2,2,TRUE,FALSE
1,1,learned,92,4,8,3,5,3,5,FALSE,4245.600000023842,4,5,4,3,FALSE,FALSE
1,1,learned,93,3,6,4,5,4,4,TRUE,2880.10000064969,2,3,2,2,FALSE,FALSE
1,1,learned,94,10,1,8,12,8,8,TRUE,6145.400000736117,2,5,2,2,FALSE,FALSE
1,1,learned,95,8,2,1,9,1,1,TRUE,2119.6000017225742,2,NA,2,2,TRUE,FALSE
1,1,learned,96,8,11,10,1,10,1,FALSE,4429.999999701977,3,NA,3,2,TRUE,FALSE
1,1,learned,97,8,3,1,9,1,1,TRUE,2617.3000000417233,3,NA,3,3,TRUE,FALSE
1,1,learned,98,12,8,11,13,11,11,TRUE,10844.499999657271,3,4,3,2,FALSE,FALSE
1,1,learned,99,13,1,11,12,NA,12,TRUE,3605.399999767542,4,4,4,4,FALSE,TRUE
1,1,learned,100,4,9,2,5,2,5,FALSE,2672.2999997437,4,6,4,4,FALSE,FALSE
1,1,learned,101,2,9,1,3,1,3,FALSE,2539.200000464916,3,NA,3,3,TRUE,FALSE
1,1,learned,102,8,5,1,9,1,1,TRUE,19107.400000095367,4,NA,4,4,TRUE,FALSE
1,1,learned,103,4,7,6,3,6,6,TRUE,2363.6000007390976,2,3,2,2,FALSE,FALSE
1,1,learned,104,8,5,1,10,1,1,TRUE,2632.100000977516,4,NA,4,4,TRUE,FALSE
1,1,learned,105,2,6,4,1,4,4,TRUE,2121.9999995082617,2,NA,2,2,TRUE,FALSE
1,1,learned,106,8,6,1,9,1,1,TRUE,9319.599999114873,4,NA,4,4,TRUE,FALSE
1,1,learned,107,8,4,1,10,1,1,TRUE,3481.3999999314547,3,NA,3,3,TRUE,FALSE
1,1,learned,108,2,8,1,4,1,4,FALSE,2096.5999998152256,2,NA,2,2,TRUE,FALSE
1,1,learned,109,2,12,1,4,1,4,FALSE,2273.299999535084,4,NA,4,4,TRUE,FALSE
1,1,learned,110,9,12,11,8,11,11,TRUE,3384.399998933077,2,3,2,2,FALSE,FALSE
1,1,learned,111,1,3,2,8,2,8,FALSE,5481.200000271201,2,NA,2,2,TRUE,FALSE
1,1,learned,112,3,9,2,5,2,2,TRUE,1950.2000007778408,4,6,4,4,FALSE,FALSE
1,1,learned,113,2,10,1,3,1,3,FALSE,8919.399999082088,3,NA,3,3,TRUE,FALSE
1,1,learned,114,3,1,4,5,4,4,TRUE,4222.200000658631,3,4,3,2,FALSE,FALSE
1,1,learned,115,12,8,10,11,10,11,FALSE,2818.3999992907047,2,3,2,2,FALSE,FALSE
1,1,learned,116,11,10,12,9,12,12,TRUE,2560.3999998420477,2,3,2,2,FALSE,FALSE
1,1,learned,117,4,7,5,3,5,5,TRUE,2138.1999999284744,2,3,2,2,FALSE,FALSE
1,1,learned,118,8,11,9,10,9,10,FALSE,5048.299999907613,2,3,2,2,FALSE,FALSE
1,1,learned,119,3,6,2,5,NA,2,TRUE,2038.500001654029,3,3,3,2,FALSE,TRUE
1,1,learned,120,10,2,8,12,8,12,FALSE,2080.900000408292,3,6,3,3,FALSE,FALSE
1,1,learned,121,10,3,8,12,8,12,FALSE,6340.599998831749,4,7,4,4,FALSE,FALSE
1,1,learned,122,11,2,12,13,12,13,FALSE,4036.100000143051,5,6,5,4,FALSE,FALSE
1,1,learned,123,4,9,3,6,3,6,FALSE,2444.9000004678965,5,8,5,4,FALSE,FALSE
1,1,learned,124,4,7,3,2,3,3,TRUE,2070.3999996185303,3,4,3,2,FALSE,FALSE
1,1,learned,125,4,10,2,5,2,2,TRUE,2601.9999999552965,4,6,4,4,FALSE,FALSE
1,1,learned,126,6,2,4,7,4,4,TRUE,1781.8999998271463,2,4,2,2,FALSE,FALSE
1,1,learned,127,4,10,3,5,3,3,TRUE,3390.8999990671873,5,6,5,4,FALSE,FALSE
1,1,learned,128,5,2,3,7,3,7,FALSE,3580.299999564886,2,4,2,2,FALSE,FALSE
1,1,learned,129,12,9,10,13,NA,10,TRUE,1955.800000578165,3,3,3,2,FALSE,TRUE
1,1,learned,130,2,11,1,3,1,3,FALSE,7081.499999389052,4,NA,4,4,TRUE,FALSE
1,1,learned,131,10,13,12,8,12,8,FALSE,3280.6000001728535,2,4,2,2,FALSE,FALSE
1,1,learned,132,4,1,2,3,2,2,TRUE,6098.400000482798,2,3,2,2,FALSE,FALSE
1,1,learned,133,5,6,4,3,4,4,TRUE,3379.3000001460314,2,3,2,2,FALSE,FALSE
1,1,learned,134,9,13,11,8,11,11,TRUE,2302.4999983608723,2,4,2,2,FALSE,FALSE
1,1,learned,135,5,6,7,3,7,7,TRUE,2785.199999809265,2,3,2,2,FALSE,FALSE
1,1,learned,136,1,6,2,8,2,2,TRUE,3681.199999526143,3,NA,3,3,TRUE,FALSE
1,1,learned,137,2,12,1,3,1,3,FALSE,9374.70000050962,4,NA,4,4,TRUE,FALSE
1,1,learned,138,12,2,10,13,10,13,FALSE,2532.200001180172,4,6,4,4,FALSE,FALSE
1,1,learned,139,5,1,3,7,3,3,TRUE,3025.100000202656,3,5,3,3,FALSE,FALSE
1,1,learned,140,8,13,10,1,10,1,FALSE,4611.500000581145,3,NA,3,3,TRUE,FALSE
1,1,learned,141,5,8,3,4,NA,4,TRUE,2550.900001078844,4,4,4,4,FALSE,TRUE
1,1,learned,142,5,2,3,4,NA,3,TRUE,1898.199999704957,2,2,2,2,FALSE,TRUE
1,1,learned,143,4,8,2,3,2,3,FALSE,2220.1999984681606,3,4,3,3,FALSE,FALSE
1,1,learned,144,4,7,5,2,5,5,TRUE,2001.2000016868112,2,4,2,2,FALSE,FALSE
1,1,learned,145,4,8,3,6,3,3,TRUE,2200.100000947714,4,7,4,3,FALSE,FALSE
1,1,learned,146,3,10,4,5,4,5,FALSE,1668.1999992579222,5,6,5,4,FALSE,FALSE
1,1,learned,147,5,1,4,7,4,4,TRUE,7512.499999254942,3,5,3,3,FALSE,FALSE
1,1,learned,148,1,9,8,2,8,8,TRUE,2877.800000831485,2,NA,2,2,TRUE,FALSE
1,1,learned,149,4,10,3,6,3,3,TRUE,1890.3000000864267,5,8,5,4,FALSE,FALSE
1,1,learned,150,5,6,4,7,NA,7,TRUE,2154.2000006884336,2,2,2,2,FALSE,TRUE
1,1,learned,151,4,8,2,6,2,6,FALSE,1516.799999400973,3,7,3,3,FALSE,FALSE
1,1,learned,152,11,1,12,13,12,13,FALSE,1817.2999992966652,4,5,4,3,FALSE,FALSE
1,1,learned,153,3,8,4,5,4,4,TRUE,1971.1999986320736,4,5,4,3,FALSE,FALSE
1,1,learned,154,7,1,5,6,NA,6,TRUE,3683.4000013768673,4,4,4,4,FALSE,TRUE
1,1,learned,155,3,9,2,4,2,2,TRUE,1659.8999984562397,4,5,4,4,FALSE,FALSE
1,1,learned,156,2,6,4,3,4,4,TRUE,1745.899999514222,2,3,2,2,FALSE,FALSE
1,1,learned,157,3,7,5,2,5,2,FALSE,1739.1999997198582,2,4,2,2,FALSE,FALSE
1,1,learned,158,2,7,3,4,NA,4,TRUE,5878.299999982119,3,3,3,3,FALSE,TRUE
1,1,learned,159,9,4,8,11,8,8,TRUE,2720.0000006705523,4,7,4,4,FALSE,FALSE
1,2,learned,1,10,4,8,12,8,12,FALSE,15041.600000113249,4,7,4,4,FALSE,FALSE
1,2,learned,2,13,1,11,12,NA,11,TRUE,7536.699999123812,4,4,4,4,FALSE,TRUE
1,2,learned,3,12,2,10,13,10,10,TRUE,17346.099998801947,4,6,4,4,FALSE,FALSE
1,2,learned,4,10,3,8,12,8,8,TRUE,7728.199999779463,4,7,4,4,FALSE,FALSE
1,2,learned,5,12,1,11,13,11,11,TRUE,9859.100000932813,4,5,4,3,FALSE,FALSE
1,2,learned,6,4,1,3,6,3,3,TRUE,7808.999998494983,3,6,3,2,FALSE,FALSE
1,2,learned,7,2,8,1,3,1,1,TRUE,6876.499999314547,2,NA,2,2,TRUE,FALSE
1,2,learned,8,2,12,1,4,1,1,TRUE,13168.199999257922,4,NA,4,4,TRUE,FALSE
1,2,learned,9,11,10,9,13,NA,13,TRUE,30619.400000199676,3,3,3,2,FALSE,TRUE
1,2,learned,10,11,2,9,13,9,9,TRUE,4161.199999973178,4,6,4,4,FALSE,FALSE
1,2,learned,11,3,8,2,5,2,5,FALSE,17375.699998810887,3,5,3,3,FALSE,FALSE
1,2,learned,12,4,8,2,5,2,2,TRUE,9240.199999883773,3,5,3,3,FALSE,FALSE
1,2,learned,13,4,8,5,6,5,5,TRUE,8019.700000062585,5,7,5,3,FALSE,FALSE
1,2,learned,14,4,7,3,2,3,3,TRUE,4732.200000435114,3,4,3,2,FALSE,FALSE
1,2,learned,15,11,1,9,12,9,9,TRUE,15361.7000002414,3,4,3,3,FALSE,FALSE
1,2,learned,16,11,1,12,13,12,12,TRUE,11202.800000086429,4,5,4,3,FALSE,FALSE
1,2,learned,17,1,9,8,2,8,8,TRUE,6245.600000023842,2,NA,2,2,TRUE,FALSE
1,2,learned,18,9,4,8,11,8,8,TRUE,6933.599999174476,4,7,4,4,FALSE,FALSE
1,2,learned,19,13,10,12,11,12,12,TRUE,3482.400000095367,2,3,2,2,FALSE,FALSE
1,2,learned,20,1,5,2,8,2,2,TRUE,9236.099999397991,3,NA,3,3,TRUE,FALSE
1,2,learned,21,11,10,12,9,12,12,TRUE,6428.50000038743,2,3,2,2,FALSE,FALSE
1,2,learned,22,12,8,10,11,10,10,TRUE,2441.2999991327524,2,3,2,2,FALSE,FALSE
1,2,learned,23,3,10,4,5,4,5,FALSE,17786.199999973178,5,6,5,4,FALSE,FALSE
1,2,learned,24,12,2,11,13,11,11,TRUE,8446.399999782443,5,6,5,4,FALSE,FALSE
1,2,learned,25,3,10,2,4,2,4,FALSE,6937.599999830127,4,5,4,4,FALSE,FALSE
1,2,learned,26,4,10,2,5,2,2,TRUE,7361.300000920892,4,6,4,4,FALSE,FALSE
1,2,learned,27,5,6,7,3,7,7,TRUE,2748.3999989926815,2,3,2,2,FALSE,FALSE
1,2,learned,28,12,8,10,13,10,10,TRUE,2745.100000873208,2,4,2,2,FALSE,FALSE
1,2,learned,29,8,5,1,10,1,1,TRUE,4641.200000420213,4,NA,4,4,TRUE,FALSE
1,2,learned,30,2,5,4,1,4,1,FALSE,5351.9999999552965,2,NA,2,2,TRUE,FALSE
