sub_id,node_id,node_name,node_race,node_gender,node_stim
1,1,Kevin,latine,male,CFD-LM-241-125-N
1,2,Kayla,black,female,CFD-BF-221-223-N
1,3,Mia,white,female,CFD-WF-243-148-N
1,4,Brianna,latine,female,CFD-LF-254-125-N
1,5,Ashley,asian,female,CFD-AF-252-135-N
1,6,Matthew,asian,male,CFD-AM-203-086-N
1,7,Alexander,asian,male,CFD-AM-220-134-N
1,8,James,white,male,CFD-WM-237-052-N
1,9,Brandon,black,male,CFD-BM-246-192-N
1,10,Rachel,white,female,CFD-WF-247-065-N
1,11,Arianna,black,female,CFD-BF-207-004-N
1,12,Christian,black,male,CFD-BM-203-001-N
1,13,Valentina,latine,female,CFD-LF-214-090-N
2,1,Vivian,asian,female,CFD-AF-240-206-N
2,2,Kayla,black,female,CFD-BF-207-004-N
2,3,Elijah,black,male,CFD-BM-207-024-N
2,4,Abigail,white,female,CFD-WF-244-163-N
2,5,Sophia,asian,female,CFD-AF-211-066-N
2,6,David,latine,male,CFD-LM-252-076-N
2,7,Nicole,latine,female,CFD-LF-226-174-N
2,8,Emily,latine,female,CFD-LF-207-198-N
2,9,Zoe,black,female,CFD-BF-201-080-N
2,10,Aaron,asian,male,CFD-AM-234-355-N
2,11,Samuel,white,male,CFD-WM-247-084-N
2,12,Emma,white,female,CFD-WF-208-068-N
2,13,Brandon,latine,male,CFD-LM-211-128-N
3,1,Chelsea,black,female,CFD-BF-242-154-N
3,2,Maya,white,female,CFD-WF-244-163-N
3,3,Brandon,latine,male,CFD-LM-247-095-N
3,4,Justin,asian,male,CFD-AM-221-184-N
3,5,Valentina,latine,female,CFD-LF-214-090-N
3,6,Jasmine,asian,female,CFD-AF-226-251-N
3,7,Evan,asian,male,CFD-AM-229-224-N
3,8,Elijah,black,male,CFD-BM-207-024-N
3,9,Ava,white,female,CFD-WF-234-086-N
3,10,Jada,black,female,CFD-BF-226-119-N
3,11,Angelina,latine,female,CFD-LF-232-199-N
3,12,Amir,black,male,CFD-BM-247-240-N
3,13,Lucas,white,male,CFD-WM-229-129-N
4,1,Daniel,latine,male,CFD-LM-216-082-N
4,2,Vincent,asian,male,CFD-AM-201-076-N
4,3,Esther,white,female,CFD-WF-244-163-N
4,4,Hailey,latine,female,CFD-LF-212-066-N
4,5,Ashley,asian,female,CFD-AF-247-278-N
4,6,Emily,latine,female,CFD-LF-213-079-N
4,7,Ella,white,female,CFD-WF-212-050-N
4,8,Liam,white,male,CFD-WM-245-123-N
4,9,Makayla,black,female,CFD-BF-244-231-N
4,10,Nathaniel,black,male,CFD-BM-229-209-N
4,11,Nicholas,white,male,CFD-WM-219-008-N
4,12,Angel,latine,male,CFD-LM-210-156-N
4,13,Tristan,black,male,CFD-BM-204-003-N
5,1,Brianna,latine,female,CFD-LF-229-164-N
5,2,Eric,asian,male,CFD-AM-207-108-N
5,3,Mason,latine,male,CFD-LM-214-165-N
5,4,Ella,white,female,CFD-WF-247-065-N
5,5,Daniel,black,male,CFD-BM-226-276-N
5,6,Nicole,asian,female,CFD-AF-229-160-N
5,7,Joseph,white,male,CFD-WM-239-128-N
5,8,Amari,black,male,CFD-BM-229-209-N
5,9,Dylan,asian,male,CFD-AM-234-355-N
5,10,Samantha,latine,female,CFD-LF-201-035-N
5,11,Rachel,white,female,CFD-WF-211-001-N
5,12,Nevaeh,black,female,CFD-BF-235-168-N
5,13,Zoe,black,female,CFD-BF-221-223-N
6,1,Sarah,white,female,CFD-WF-213-031-N
6,2,Joseph,white,male,CFD-WM-245-123-N
6,3,Grace,asian,female,CFD-AF-224-026-N
6,4,Ava,black,female,CFD-BF-222-240-N
6,5,Samuel,white,male,CFD-WM-239-128-N
6,6,Anthony,asian,male,CFD-AM-211-052-N
6,7,Samantha,latine,female,CFD-LF-229-164-N
6,8,Jacob,latine,male,CFD-LM-239-075-N
6,9,Mia,asian,female,CFD-AF-209-006-N
6,10,Chelsea,black,female,CFD-BF-210-130-N
6,11,Tyler,black,male,CFD-BM-217-082-N
6,12,Hailey,latine,female,CFD-LF-206-078-N
6,13,Andy,asian,male,CFD-AM-242-176-N
7,1,Olivia,asian,female,CFD-AF-208-003-N
7,2,John,white,male,CFD-WM-235-147-N
7,3,Justin,black,male,CFD-BM-207-024-N
7,4,Ava,black,female,CFD-BF-222-240-N
7,5,Leah,black,female,CFD-BF-217-189-N
7,6,Matthew,asian,male,CFD-AM-211-052-N
7,7,Sophia,latine,female,CFD-LF-252-172-N
7,8,Isabella,latine,female,CFD-LF-208-127-N
7,9,Elizabeth,white,female,CFD-WF-247-065-N
7,10,Ethan,latine,male,CFD-LM-252-076-N
7,11,Henry,white,male,CFD-WM-230-131-N
7,12,Vincent,asian,male,CFD-AM-228-214-N
7,13,Kevin,latine,male,CFD-LM-200-045-N
8,1,Jacob,latine,male,CFD-LM-216-082-N
8,2,Olivia,black,female,CFD-BF-235-168-N
8,3,Sophia,latine,female,CFD-LF-228-125-N
8,4,Amir,black,male,CFD-BM-247-240-N
8,5,Joshua,latine,male,CFD-LM-231-214-N
8,6,Miriam,white,female,CFD-WF-223-133-N
8,7,Jack,white,male,CFD-WM-229-129-N
8,8,Liam,black,male,CFD-BM-204-003-N
8,9,Ivy,asian,female,CFD-AF-228-173-N
8,10,Joanna,asian,female,CFD-AF-240-206-N
8,11,Emma,latine,female,CFD-LF-227-054-N
8,12,Matthew,asian,male,CFD-AM-211-052-N
8,13,Ryan,asian,male,CFD-AM-238-269-N
9,1,Alexander,white,male,CFD-WM-238-020-N
9,2,Daniel,asian,male,CFD-AM-202-079-N
