measurement_id,sub_id,trial,target_id,guess_id,guess_number,guess_correct
1,1,1,2,11,1,0
1,1,1,2,4,2,1
1,1,1,2,3,3,1
1,1,1,2,5,4,0
1,1,2,1,6,1,0
1,1,2,1,9,2,0
1,1,2,1,13,3,0
1,1,3,9,10,1,0
1,1,3,9,8,2,1
1,1,3,9,1,3,0
1,1,3,9,3,4,0
1,1,4,7,2,1,0
1,1,4,7,8,2,0
1,1,5,4,2,1,1
1,1,5,4,11,2,0
1,1,5,4,13,3,0
1,1,6,3,11,1,0
1,1,6,3,2,2,1
1,1,6,3,9,3,0
1,1,7,11,4,1,0
1,1,7,11,13,2,1
1,1,7,11,2,3,0
1,1,8,12,2,1,0
1,1,8,12,6,2,0
1,1,8,12,3,3,0
1,1,9,8,7,1,0
1,1,9,8,9,2,1
1,1,10,6,7,1,1
1,1,10,6,1,2,0
1,1,11,10,12,1,1
1,1,11,10,2,2,0
1,1,12,13,4,1,0
1,1,12,13,5,2,0
1,1,12,13,2,3,0
1,1,13,5,6,1,0
1,1,13,5,4,2,1
1,1,13,5,2,3,0
1,2,1,2,6,1,0
1,2,1,2,4,2,1
1,2,1,2,1,3,1
1,2,1,2,10,4,0
1,2,2,5,7,1,1
1,2,2,5,4,2,1
1,2,2,5,3,3,1
1,2,2,5,9,4,0
1,2,3,1,6,1,0
1,2,3,1,2,2,1
1,2,3,1,8,3,1
1,2,4,6,10,1,0
1,2,4,6,7,2,1
1,2,5,7,3,1,0
1,2,5,7,4,2,0
1,2,6,12,5,1,0
1,2,6,12,9,2,0
1,2,6,12,11,3,1
1,2,6,12,13,4,1
1,2,7,13,11,1,1
1,2,7,13,6,2,0
1,2,7,13,1,3,0
1,2,8,11,4,1,0
1,2,8,11,13,2,1
1,2,9,3,5,1,1
1,2,9,3,4,2,1
1,2,9,3,2,3,1
1,2,10,4,3,1,1
1,2,10,4,10,2,0
1,2,10,4,2,3,1
1,2,10,4,9,4,0
1,2,10,4,5,5,1
1,2,11,10,2,1,0
1,2,11,10,11,2,0
1,2,11,10,12,3,1
1,2,12,8,2,1,0
1,2,12,8,10,2,1
1,2,13,9,10,1,0
1,2,13,9,13,2,0
1,3,1,5,4,1,1
1,3,1,5,3,2,1
1,3,1,5,12,3,0
1,3,2,8,1,1,1
1,3,2,8,10,2,1
1,3,2,8,9,3,1
1,3,3,4,3,1,1
1,3,3,4,6,2,1
1,3,3,4,2,3,1
1,3,4,3,1,1,0
1,3,4,3,11,2,0
1,3,4,3,7,3,0
1,3,5,10,8,1,1
1,3,5,10,12,2,1
1,3,6,11,13,1,1
1,3,6,11,9,2,1
1,3,6,11,12,3,1
1,3,7,1,12,1,0
1,3,7,1,8,2,1
1,3,8,7,5,1,1
1,3,8,7,6,2,1
1,3,9,9,13,1,0
1,3,9,9,12,2,0
1,3,10,6,4,1,1
1,3,10,6,7,2,1
1,3,11,12,13,1,1
1,3,11,12,8,2,0
1,3,12,13,2,1,0
1,3,12,13,12,2,1
1,3,13,2,13,1,0
1,3,13,2,10,2,0
1,3,13,2,5,3,0
1,4,1,3,4,1,1
1,4,1,3,5,2,1
1,4,1,3,7,3,0
1,4,2,2,3,1,1
1,4,2,2,1,2,1
1,4,2,2,4,3,1
1,4,3,9,8,1,1
1,4,3,9,11,2,1
1,4,4,8,1,1,1
1,4,4,8,10,2,1
1,4,4,8,9,3,1
1,4,5,12,11,1,1
1,4,5,12,13,2,1
1,4,5,12,10,3,1
1,4,6,5,7,1,1
1,4,6,5,4,2,1
1,4,6,5,3,3,1
1,4,7,1,2,1,1
1,4,7,1,8,2,1
