measurement_id,sub_id,network,trial,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,sub_choice,correct,rt,dist_opt1,dist_opt2,shortest_path_given_opts,shortest_path_given_start_end,one_impossible_option,two_correct_options
1,1,learned,1,6,1,4,7,4,7,FALSE,6941.104999976233,3,5,3,3,FALSE,FALSE
1,1,learned,2,4,9,2,3,2,2,TRUE,3684.2299999846146,4,5,4,4,FALSE,FALSE
1,1,learned,3,9,13,11,8,11,8,FALSE,3250.3900000010617,2,4,2,2,FALSE,FALSE
1,1,learned,4,4,1,2,3,2,2,TRUE,3297.5600000061095,2,3,2,2,FALSE,FALSE
1,1,learned,5,12,1,11,13,11,11,TRUE,2448.2900000000373,4,5,4,3,FALSE,FALSE
1,1,learned,6,10,1,8,12,8,8,TRUE,2269.384999992326,2,5,2,2,FALSE,FALSE
1,1,learned,7,10,13,12,8,12,12,TRUE,2722.899999992922,2,4,2,2,FALSE,FALSE
1,1,learned,8,10,2,8,12,8,8,TRUE,3086.089999997057,3,6,3,3,FALSE,FALSE
1,1,learned,9,4,7,3,2,3,2,FALSE,3035.2800000114366,3,4,3,2,FALSE,FALSE
1,1,learned,10,2,11,1,4,1,4,FALSE,3252.9950000173412,4,NA,4,4,TRUE,FALSE
1,1,learned,11,4,9,5,6,5,5,TRUE,1276.8799999901094,6,8,6,4,FALSE,FALSE
1,1,learned,12,4,1,2,6,2,6,FALSE,2821.685000002384,2,6,2,2,FALSE,FALSE
1,1,learned,13,3,8,2,5,2,5,FALSE,2368.859999988228,3,5,3,3,FALSE,FALSE
1,1,learned,14,12,1,10,11,10,10,TRUE,1810.105000011623,3,4,3,3,FALSE,FALSE
1,1,learned,15,4,7,5,3,5,5,TRUE,2270.9299999987707,2,3,2,2,FALSE,FALSE
1,1,learned,16,12,2,10,11,10,11,FALSE,1957.3650000095367,4,5,4,4,FALSE,FALSE
1,1,learned,17,3,7,5,2,5,2,FALSE,3173.949999996926,2,4,2,2,FALSE,FALSE
1,1,learned,18,2,10,1,3,1,3,FALSE,1649.380000016652,3,NA,3,3,TRUE,FALSE
1,1,learned,19,4,9,3,5,3,3,TRUE,1321.239999989979,5,6,5,4,FALSE,FALSE
1,1,learned,20,4,7,5,2,5,2,FALSE,2651.4749999917112,2,4,2,2,FALSE,FALSE
1,1,learned,21,2,6,3,1,3,1,FALSE,2002.210000006482,3,NA,3,2,TRUE,FALSE
1,1,learned,22,7,1,5,6,NA,6,TRUE,3122.1200000140816,4,4,4,4,FALSE,TRUE
1,1,learned,23,1,6,2,8,2,2,TRUE,4652.020000008866,3,NA,3,3,TRUE,FALSE
1,1,learned,24,3,1,4,5,4,4,TRUE,2480.27500000922,3,4,3,2,FALSE,FALSE
1,1,learned,25,12,8,10,11,10,11,FALSE,2593.09000000963,2,3,2,2,FALSE,FALSE
1,1,learned,26,5,2,3,7,3,3,TRUE,2874.1299999817275,2,4,2,2,FALSE,FALSE
1,1,learned,27,11,2,9,12,9,9,TRUE,3468.670000001788,4,5,4,4,FALSE,FALSE
1,1,learned,28,12,2,11,13,11,13,FALSE,2729.7599999876693,5,6,5,4,FALSE,FALSE
1,1,learned,29,4,8,3,5,3,3,TRUE,2266.009999992326,4,5,4,3,FALSE,FALSE
1,1,learned,30,3,1,2,4,2,2,TRUE,2409.914999996312,2,3,2,2,FALSE,FALSE
1,1,learned,31,1,12,8,2,8,8,TRUE,6885.050000011921,3,NA,3,3,TRUE,FALSE
1,1,learned,32,8,6,1,9,1,9,FALSE,1673.2249999763444,4,NA,4,4,TRUE,FALSE
1,1,learned,33,11,2,9,13,9,13,FALSE,2208.42500001844,4,6,4,4,FALSE,FALSE
1,1,learned,34,11,10,12,9,12,9,FALSE,1718.859999993816,2,3,2,2,FALSE,FALSE
1,1,learned,35,4,8,5,6,5,6,FALSE,2773.9850000068545,5,7,5,3,FALSE,FALSE
1,1,learned,36,10,9,8,12,8,8,TRUE,1787.8150000176392,2,3,2,2,FALSE,FALSE
1,1,learned,37,4,1,3,5,3,3,TRUE,346.8799999970943,3,4,3,2,FALSE,FALSE
1,1,learned,38,3,9,2,5,2,2,TRUE,294.86999998334795,4,6,4,4,FALSE,FALSE
1,1,learned,39,8,13,9,1,9,1,FALSE,401.4499999759719,3,NA,3,3,TRUE,FALSE
1,1,learned,40,9,3,8,11,8,11,FALSE,346.0349999954924,4,7,4,4,FALSE,FALSE
1,1,learned,41,10,3,8,12,8,8,TRUE,689.8099999818951,4,7,4,4,FALSE,FALSE
1,1,learned,42,9,1,8,11,8,11,FALSE,2690.0999999777414,2,5,2,2,FALSE,FALSE
1,1,learned,43,8,5,1,9,1,1,TRUE,1399.8000000137836,4,NA,4,4,TRUE,FALSE
1,1,learned,44,12,8,11,13,11,13,FALSE,4426.394999987911,3,4,3,2,FALSE,FALSE
1,1,learned,45,4,10,2,3,2,3,FALSE,2220.939999999013,4,5,4,4,FALSE,FALSE
1,1,learned,46,3,6,4,5,4,4,TRUE,1373.5800000140443,2,3,2,2,FALSE,FALSE
1,1,learned,47,10,4,8,12,8,8,TRUE,1173.0600000009872,4,7,4,4,FALSE,FALSE
1,1,learned,48,12,9,11,10,11,10,FALSE,1585.2650000015274,2,3,2,2,FALSE,FALSE
1,1,learned,49,3,7,4,2,4,4,TRUE,1223.3300000079907,3,4,3,2,FALSE,FALSE
1,1,learned,50,5,8,3,4,NA,3,TRUE,1356.9199999906125,4,4,4,4,FALSE,TRUE
1,1,learned,51,8,11,9,10,9,10,FALSE,1275.839999987278,2,3,2,2,FALSE,FALSE
1,1,learned,52,8,3,1,10,1,1,TRUE,964.0099999960512,3,NA,3,3,TRUE,FALSE
1,1,learned,53,8,11,10,1,10,10,TRUE,1518.935000000056,3,NA,3,2,TRUE,FALSE
1,1,learned,54,1,5,2,8,2,2,TRUE,869.6150000030175,3,NA,3,3,TRUE,FALSE
1,1,learned,55,1,10,8,2,8,8,TRUE,787.0650000115857,2,NA,2,2,TRUE,FALSE
1,1,learned,56,11,1,9,13,9,9,TRUE,406.20500000659376,3,5,3,3,FALSE,FALSE
1,1,learned,57,2,9,1,3,1,3,FALSE,1671.0000000018626,3,NA,3,3,TRUE,FALSE
1,1,learned,58,4,7,6,3,6,6,TRUE,2656.0999999926426,2,3,2,2,FALSE,FALSE
1,1,learned,59,2,7,3,1,3,3,TRUE,885.9799999915995,3,NA,3,3,TRUE,FALSE
1,1,learned,60,4,1,5,6,5,5,TRUE,738.600000011269,4,6,4,2,FALSE,FALSE
1,1,learned,61,11,10,12,13,12,13,FALSE,948.5449999915436,2,3,2,2,FALSE,FALSE
1,1,learned,62,6,8,4,7,4,7,FALSE,252.09000002406535,4,6,4,4,FALSE,FALSE
1,1,learned,63,4,1,2,5,2,5,FALSE,294.91999998595566,2,4,2,2,FALSE,FALSE
1,1,learned,64,11,8,9,12,9,12,FALSE,1998.129999992903,2,3,2,2,FALSE,FALSE
1,1,learned,65,8,4,1,9,1,9,FALSE,1035.9699999969453,3,NA,3,3,TRUE,FALSE
1,1,learned,66,8,12,10,9,10,10,TRUE,1635.6549999909475,2,3,2,2,FALSE,FALSE
1,1,learned,67,7,4,5,6,NA,6,TRUE,1675.744999986142,2,2,2,2,FALSE,TRUE
1,1,learned,68,12,1,10,13,10,10,TRUE,1433.684999995865,3,5,3,3,FALSE,FALSE
1,1,learned,69,7,3,5,6,5,5,TRUE,1891.149999981746,2,3,2,2,FALSE,FALSE
1,1,learned,70,11,1,12,13,12,12,TRUE,1369.799999985844,4,5,4,3,FALSE,FALSE
1,1,learned,71,2,5,3,4,NA,3,TRUE,288.1200000117533,2,2,2,2,FALSE,TRUE
1,1,learned,72,7,2,5,6,NA,6,TRUE,417.56999999051914,3,3,3,3,FALSE,TRUE
1,1,learned,73,2,9,1,4,1,4,FALSE,229.2900000177324,3,NA,3,3,TRUE,FALSE
1,1,learned,74,2,8,1,3,1,3,FALSE,377.1149999811314,2,NA,2,2,TRUE,FALSE
1,1,learned,75,13,9,11,12,11,12,FALSE,815.0649999734014,2,3,2,2,FALSE,FALSE
1,1,learned,76,8,5,1,10,1,10,FALSE,481.0299999951385,4,NA,4,4,TRUE,FALSE
1,1,learned,77,2,11,1,3,1,1,TRUE,270.66500001819804,4,NA,4,4,TRUE,FALSE
1,1,learned,78,8,13,10,1,10,1,FALSE,302.70500000892207,3,NA,3,3,TRUE,FALSE
1,1,learned,79,1,7,2,8,2,2,TRUE,360.0200000219047,4,NA,4,4,TRUE,FALSE
1,1,learned,80,4,8,2,6,2,6,FALSE,360.0299999816343,3,7,3,3,FALSE,FALSE
1,1,learned,81,8,4,1,10,1,1,TRUE,413.53499999968335,3,NA,3,3,TRUE,FALSE
1,1,learned,82,1,11,8,2,8,8,TRUE,272.8949999730103,3,NA,3,3,TRUE,FALSE
1,1,learned,83,2,8,1,4,1,4,FALSE,2050.099999993108,2,NA,2,2,TRUE,FALSE
1,1,learned,84,8,12,9,1,9,1,FALSE,2390.8250000094995,3,NA,3,2,TRUE,FALSE
1,1,learned,85,12,9,10,13,NA,13,TRUE,1358.7849999889731,3,3,3,2,FALSE,TRUE
1,1,learned,86,4,10,3,5,3,3,TRUE,2607.4249999946915,5,6,5,4,FALSE,FALSE
1,1,learned,87,10,11,12,8,12,8,FALSE,2184.9350000265986,2,3,2,2,FALSE,FALSE
1,1,learned,88,9,12,11,8,11,11,TRUE,1300.615000014659,2,3,2,2,FALSE,FALSE
1,1,learned,89,4,8,2,5,2,2,TRUE,2076.1099999947473,3,5,3,3,FALSE,FALSE
1,1,learned,90,4,10,2,6,2,2,TRUE,1574.7299999929965,4,8,4,4,FALSE,FALSE
1,1,learned,91,4,9,3,6,3,3,TRUE,2668.344999983441,5,8,5,4,FALSE,FALSE
1,1,learned,92,3,8,4,5,4,4,TRUE,0.10500001395121215,4,5,4,3,FALSE,FALSE
1,1,learned,93,3,9,4,5,4,5,FALSE,2355.3850000025705,5,6,5,4,FALSE,FALSE
1,1,learned,94,5,2,4,7,4,7,FALSE,500.93499998888,2,4,2,2,FALSE,FALSE
1,1,learned,95,4,1,3,6,3,3,TRUE,1627.8400000007823,3,6,3,2,FALSE,FALSE
1,1,learned,96,3,8,2,4,2,2,TRUE,1601.250000006985,3,4,3,3,FALSE,FALSE
1,1,learned,97,12,2,10,13,10,13,FALSE,1564.175000006333,4,6,4,4,FALSE,FALSE
1,1,learned,98,4,7,5,6,NA,5,TRUE,1554.1399999926798,2,2,2,2,FALSE,TRUE
1,1,learned,99,2,12,1,3,1,3,FALSE,1533.4849999928847,4,NA,4,4,TRUE,FALSE
1,1,learned,100,11,8,12,13,12,13,FALSE,1602.0100000021048,3,4,3,2,FALSE,FALSE
1,1,learned,101,5,1,3,7,3,7,FALSE,1327.625000005588,3,5,3,3,FALSE,FALSE
1,1,learned,102,11,10,9,13,NA,13,TRUE,626.1400000080466,3,3,3,2,FALSE,TRUE
1,1,learned,103,3,10,2,5,2,2,TRUE,1008.5550000071526,4,6,4,4,FALSE,FALSE
1,1,learned,104,1,9,8,2,8,8,TRUE,1081.1349999858066,2,NA,2,2,TRUE,FALSE
1,1,learned,105,2,5,4,1,4,1,FALSE,1422.970000013709,2,NA,2,2,TRUE,FALSE
1,1,learned,106,8,6,1,10,1,1,TRUE,1047.205000010319,4,NA,4,4,TRUE,FALSE
1,1,learned,107,5,6,4,7,NA,7,TRUE,1354.4049999909475,2,2,2,2,FALSE,TRUE
1,1,learned,108,4,8,3,6,3,3,TRUE,2168.969999998808,4,7,4,3,FALSE,FALSE
1,1,learned,109,12,9,11,13,11,11,TRUE,1428.7649999894202,2,3,2,2,FALSE,FALSE
1,1,learned,110,1,3,2,8,2,8,FALSE,1125.9799999822862,2,NA,2,2,TRUE,FALSE
1,1,learned,111,4,10,5,6,5,6,FALSE,996.095000009518,6,8,6,4,FALSE,FALSE
1,1,learned,112,11,1,9,12,9,9,TRUE,1285.0200000102632,3,4,3,3,FALSE,FALSE
1,1,learned,113,5,8,3,7,3,7,FALSE,1289.6699999985285,4,6,4,4,FALSE,FALSE
1,1,learned,114,4,8,2,3,2,2,TRUE,3209.6049999818206,3,4,3,3,FALSE,FALSE
1,1,learned,115,11,8,9,13,9,9,TRUE,2037.8849999979136,2,4,2,2,FALSE,FALSE
1,1,learned,116,8,2,1,9,1,9,FALSE,1315.954999998212,2,NA,2,2,TRUE,FALSE
1,1,learned,117,4,10,3,6,3,3,TRUE,1127.970000001602,5,8,5,4,FALSE,FALSE
1,1,learned,118,3,6,2,5,NA,5,TRUE,2197.665000014007,3,3,3,2,FALSE,TRUE
1,1,learned,119,3,6,4,2,4,4,TRUE,590.3600000021979,2,3,2,2,FALSE,FALSE
1,1,learned,120,5,1,4,7,4,7,FALSE,1151.4249999891035,3,5,3,3,FALSE,FALSE
1,1,learned,121,4,9,2,6,2,2,TRUE,2108.7699999916367,4,8,4,4,FALSE,FALSE
1,1,learned,122,9,2,8,11,8,11,FALSE,707.9749999972992,3,6,3,3,FALSE,FALSE
1,1,learned,123,9,4,8,11,8,8,TRUE,1805.019999999553,4,7,4,4,FALSE,FALSE
1,1,learned,124,8,12,10,1,10,10,TRUE,1597.7549999952316,2,NA,2,2,TRUE,FALSE
1,1,learned,125,12,8,10,13,10,13,FALSE,697.2349999998696,2,4,2,2,FALSE,FALSE
