param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
search_threshold,1.9215098743050254,72.85135691877277,converged,1,6.831265038072858
lapse_rate,-0.6823834347370719,72.85135691877277,converged,1,0.33572955242998004
search_threshold,1.9208522135323292,72.85135374743636,converged,2,6.826773860027115
lapse_rate,-0.6849629247119765,72.85135374743636,converged,2,0.33515453088060043
search_threshold,1.9206868439592204,72.85135424596977,converged,3,6.825645012689245
lapse_rate,-0.6862073268578676,72.85135424596977,converged,3,0.33487730266846333
search_threshold,1.9210324061706312,72.85135368236676,converged,4,6.828004105257282
lapse_rate,-0.6846204137964561,72.85135368236676,converged,4,0.3352308555166834
search_threshold,1.9209819613111814,72.85135423442422,converged,5,6.827659676237279
lapse_rate,-0.6856170153482197,72.85135423442422,converged,5,0.33500879821791085
search_threshold,1.9211790160014177,72.85135409299372,converged,6,6.829005231169421
lapse_rate,-0.6842619495786127,72.85135409299372,converged,6,0.33531074439003367
search_threshold,1.9210965049188828,72.85135403881954,converged,7,6.828441785800724
lapse_rate,-0.6840228248686151,72.85135403881954,converged,7,0.3353640419940849
search_threshold,1.9209125758148908,72.85135422126844,converged,8,6.827185952117122
lapse_rate,-0.6858446839900358,72.85135422126844,converged,8,0.3349580805805741
search_threshold,1.9206956243288225,72.85135405150727,converged,9,6.825704944638341
lapse_rate,-0.6858653091071141,72.85135405150727,converged,9,0.33495348612110865
search_threshold,1.9209412037420024,72.85135414900748,converged,10,6.827381403096601
lapse_rate,-0.68570747137392,72.85135414900748,converged,10,0.3349886469149222
search_threshold,1.9209143529092265,72.85135403284491,converged,11,6.827198084681387
lapse_rate,-0.6857130006795038,72.85135403284491,converged,11,0.334987415145711
search_threshold,1.9210560952354259,72.85135375864249,converged,12,6.828165856204807
lapse_rate,-0.6844232275093374,72.85135375864249,converged,12,0.33527480013102395
search_threshold,1.9208952805309623,72.85135370925119,converged,13,6.827067875018739
lapse_rate,-0.6848204959807749,72.85135370925119,converged,13,0.33518626844607713
search_threshold,1.9210804166743272,72.85135407342014,converged,14,6.828331929043043
lapse_rate,-0.685065161433013,72.85135407342014,converged,14,0.3351317502678793
search_threshold,1.9210420520611795,72.85135389727128,converged,15,6.828069967755195
lapse_rate,-0.6850963554504534,72.85135389727128,converged,15,0.3351247997006915
search_threshold,1.9211344790614764,72.85135392900216,converged,16,6.82870109494628
lapse_rate,-0.6843332814946061,72.85135392900216,converged,16,0.3352948463013297
search_threshold,1.9208776373962395,72.85135364116785,converged,17,6.826947425203017
lapse_rate,-0.6853379544896132,72.85135364116785,converged,17,0.3350709696730251
search_threshold,1.920673534924503,72.8513545500212,converged,18,6.825554170547314
lapse_rate,-0.6852237369653872,72.8513545500212,converged,18,0.33509641763573833
search_threshold,1.9210485456258444,72.851354089108,converged,19,6.828114306413025
lapse_rate,-0.6840359807741028,72.851354089108,converged,19,0.33536110961486515
search_threshold,1.9210762724561619,72.85135442476707,converged,20,6.828303631004461
lapse_rate,-0.6853366277889503,72.85135442476707,converged,20,0.3350712652598945
search_threshold,1.9210136361499521,72.85135370296436,converged,21,6.827875944681821
lapse_rate,-0.6845257087702113,72.85135370296436,converged,21,0.33525196096803
search_threshold,1.92104590976841,72.8513537738762,converged,22,6.828096308500888
lapse_rate,-0.6849082632832901,72.8513537738762,converged,22,0.33516671097628875
search_threshold,1.920890803488534,72.85135370175561,converged,23,6.827037310014622
lapse_rate,-0.684850878051662,72.85135370175561,converged,23,0.3351794982476479
search_threshold,1.9207820305145502,72.85135396862049,converged,24,6.8262947532487
lapse_rate,-0.685927919165064,72.85135396862049,converged,24,0.33493953927074777
search_threshold,1.9209323529336446,72.85135392032849,converged,25,6.827320975519634
lapse_rate,-0.6855677034096235,72.85135392032849,converged,25,0.3350197839175785
