param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
search_threshold,-0.14392756015516406,73.34211565228532,converged,1,0.8659504751052611
sr_gamma,-6.139743831982559,73.34211565228532,converged,1,0.0021293312326509856
softmax_temperature,0.027347204170699926,73.34211565228532,converged,1,1.0277245710815917
search_threshold,-21.293948262410474,73.30222714087536,converged,2,5.651396413935182e-10
sr_gamma,-18.06426599646392,73.30222714087536,converged,2,1.4139177498405654e-8
softmax_temperature,0.027474062656544777,73.30222714087536,converged,2,1.0278549549345188
search_threshold,-11.401836997085898,73.30222751928295,converged,3,1.1174937647906413e-5
sr_gamma,-17.75903799373996,73.30222751928295,converged,3,1.918593556541338e-8
softmax_temperature,0.027471977708515272,73.30222751928295,converged,3,1.02785281191259
search_threshold,1.940402970274607,71.10890321360195,converged,4,6.961555705501267
sr_gamma,-0.22425645826180945,71.10890321360195,converged,4,0.43972797292648697
softmax_temperature,-0.6106697939538608,71.10890321360195,converged,4,0.5429870578004657
search_threshold,-12.837337643956907,73.302228098673325,converged,5,2.659592495846005e-6
sr_gamma,-14.788879308696439,73.302228098673325,converged,5,3.7402992762036944e-7
softmax_temperature,0.027481147530623383,73.302228098673325,converged,5,1.0278622371832424
search_threshold,-11.754400728061865,73.3022274351607,converged,6,7.854682336043839e-6
sr_gamma,-73.2925715770912,73.3022274351607,converged,6,1.4624323795718565e-32
softmax_temperature,0.027479574221851936,73.3022274351607,converged,6,1.027860620039841
search_threshold,-10.291006418223084,73.30222820688132,converged,7,3.3936941462817483e-5
sr_gamma,-40.90671366990449,73.30222820688132,converged,7,1.698537638355506e-18
softmax_temperature,0.027470113348042068,73.30222820688132,converged,7,1.0278508956262216
search_threshold,-29.637815801117064,73.30222831882654,converged,8,1.3441883959099592e-13
sr_gamma,-14.485596650881416,73.30222831882654,converged,8,5.065476207642548e-7
softmax_temperature,0.027469150096556424,73.30222831882654,converged,8,1.027849905547796
search_threshold,-10.68747154127572,73.30222946698927,converged,9,2.282916800199329e-5
sr_gamma,-312.50640970738164,73.30222946698927,converged,9,1.8872346395790217e-136
softmax_temperature,0.027459692860773245,73.30222946698927,converged,9,1.0278401849748546
search_threshold,-10.670512943263702,73.30222797816651,converged,10,2.321962008747178e-5
sr_gamma,-68.28551984836139,73.30222797816651,converged,10,2.185801554860736e-30
