model,study,sub_id,measurement_id,param_name,param_value,neg_loglik
bfs_backward,Study 1,1,D1,search_threshold,3.430525703523206,70.6119282246961
bfs_backward,Study 1,2,D1,search_threshold,1.866065153958636,78.79518421836597
bfs_backward,Study 1,3,D1,search_threshold,6.599950436051083,41.413414634528245
bfs_backward,Study 1,4,D1,search_threshold,4.886092331117599,57.25605267031458
bfs_backward,Study 1,5,D1,search_threshold,0.1745134819971989,79.6519602726857
bfs_backward,Study 1,6,D1,search_threshold,4.822654594557479,58.542798376729465
bfs_backward,Study 1,7,D1,search_threshold,3.3987814283632427,73.18224493204937
bfs_backward,Study 1,8,D1,search_threshold,3.2529994573112826,73.99782831506494
bfs_backward,Study 1,9,D1,search_threshold,6.046756620823912,54.79406719443735
bfs_backward,Study 1,10,D1,search_threshold,1.0019571548271664,79.45085802332426
bfs_backward,Study 1,11,D1,search_threshold,5.627322151940133,54.463127913727845
bfs_backward,Study 1,12,D1,search_threshold,3.6277126287025663,70.67857312657523
bfs_backward,Study 1,13,D1,search_threshold,3.572675459428177,72.530025214799835
bfs_backward,Study 1,14,D1,search_threshold,6.371422490889086,45.532313592154026
bfs_backward,Study 1,15,D1,search_threshold,4.760720018276558,60.90430020836456
bfs_backward,Study 1,16,D1,search_threshold,4.641330777035394,59.11353293838735
bfs_backward,Study 1,17,D1,search_threshold,1.3839007438223525,79.23080152031194
bfs_backward,Study 1,18,D1,search_threshold,3.368004932750609,72.89349865241807
bfs_backward,Study 1,19,D1,search_threshold,5.98798688050962,46.33031982821422
bfs_backward,Study 1,20,D1,search_threshold,4.934451129501163,59.318940814860625
bfs_backward,Study 1,21,D1,search_threshold,2.758739762269989,75.8743409293273
bfs_backward,Study 1,22,D1,search_threshold,10.302739346165618,9.414493092198333
bfs_backward,Study 1,23,D1,search_threshold,0.8744269699641157,79.51426029413183
bfs_backward,Study 1,24,D1,search_threshold,5.344810834609364,54.22966670588893
bfs_backward,Study 1,25,D1,search_threshold,5.277900407444891,56.95791308935228
bfs_backward,Study 1,26,D1,search_threshold,1.012967780584032,79.44834091332379
bfs_backward,Study 1,27,D1,search_threshold,2.4758359210113294,77.3630300696404
bfs_backward,Study 1,28,D1,search_threshold,5.379329186581752,50.028315284753674
bfs_backward,Study 1,29,D1,search_threshold,5.100448467517938,57.08039641196417
bfs_backward,Study 1,30,D1,search_threshold,3.53704128870285,71.47019862428577
bfs_backward,Study 1,31,D1,search_threshold,0.34179093571187746,79.64052129574098
bfs_backward,Study 1,32,D1,search_threshold,3.601168067152454,70.98854856295146
bfs_backward,Study 1,33,D1,search_threshold,4.72752764659517,62.44946618871582
bfs_backward,Study 1,34,D1,search_threshold,5.444543683637948,58.80969302962044
bfs_backward,Study 1,35,D1,search_threshold,2.7152035964598844,76.24721704476129
bfs_backward,Study 1,36,D1,search_threshold,4.227926663535955,66.03219905864547
bfs_backward,Study 1,37,D1,search_threshold,2.583300485148871,76.96783505517989
bfs_backward,Study 1,38,D1,search_threshold,2.2752774864556593,77.71661854447639
bfs_backward,Study 1,39,D1,search_threshold,0.5167483314086821,79.62912454320455
bfs_backward,Study 1,40,D1,search_threshold,6.276851819930456,46.77708038321667
bfs_backward,Study 1,41,D1,search_threshold,8.848762818284712e-9,79.73969583552228
bfs_backward,Study 1,42,D1,search_threshold,2.9366387855372587,75.60381784305739
bfs_backward,Study 1,43,D1,search_threshold,3.691098398356488,71.027140609063
bfs_backward,Study 1,44,D1,search_threshold,4.371045495986138,64.3174650620852
bfs_backward,Study 1,45,D1,search_threshold,5.704342482672847,48.84879834419012
bfs_backward,Study 1,46,D1,search_threshold,4.972090694767948,62.14514754222581
bfs_backward,Study 1,47,D1,search_threshold,4.829848725931352,58.30079599534283
bfs_backward,Study 1,48,D1,search_threshold,2.3138798620190713,77.98958444906161
bfs_backward,Study 1,49,D1,search_threshold,7.548794681644147,36.695218533101134
bfs_backward,Study 1,50,D1,search_threshold,0.7783860281819728,79.5458327828174
bfs_backward,Study 2,1,D1,search_threshold,9.269775134274542e-9,79.74812701278653
bfs_backward,Study 2,1,D2,search_threshold,1.961562973232679,78.5087769812493
bfs_backward,Study 2,2,D1,search_threshold,2.8766877071346317,75.76979511572603
bfs_backward,Study 2,2,D2,search_threshold,0.965811140283731,79.48364629482907
bfs_backward,Study 2,3,D1,search_threshold,3.434295039085649,72.89588663513524
bfs_backward,Study 2,3,D2,search_threshold,3.9421596249754094,68.98474464752941
bfs_backward,Study 2,4,D1,search_threshold,7.694710003830753,33.87546761370224
bfs_backward,Study 2,4,D2,search_threshold,9.252660779231258,24.892132950006964
bfs_backward,Study 2,5,D1,search_threshold,9.061119208885582,24.031067128734623
bfs_backward,Study 2,5,D2,search_threshold,9.45134306079659,16.779610601521153
bfs_backward,Study 2,6,D1,search_threshold,5.615032429837856,54.32739488982256
bfs_backward,Study 2,6,D2,search_threshold,4.838126178589955,62.712222024739965
bfs_backward,Study 2,7,D1,search_threshold,5.627664350452754,48.84831644122396
bfs_backward,Study 2,7,D2,search_threshold,5.016206331582644,57.334051638488454
bfs_backward,Study 2,8,D1,search_threshold,3.379165019113681,71.9528886041907
bfs_backward,Study 2,8,D2,search_threshold,1.1670695549193144,79.36940657091715
bfs_backward,Study 2,9,D1,search_threshold,4.550449299559253,62.952368189338785
bfs_backward,Study 2,9,D2,search_threshold,4.148780989072835,66.32748659054285
bfs_backward,Study 2,10,D1,search_threshold,5.975302402706738,55.523008783112395
bfs_backward,Study 2,10,D2,search_threshold,8.782151585364145,25.07841337254781
